Population size,"73,989",Ancestral population size
Population size,"121,796",Pop. size during 1st time interval
Population size,"165,210",Pop. size during 2nd time interval
Population size,"198,019",Pop. size during 3rd time interval
Population size,"217,752",Pop. size during 4th time interval
Population size,"228,222",Pop. size during 5th time interval
Population size,"238,593",Pop. size during 6th time interval
Population size,"246,984",Pop. size during 7th time interval
Population size,"241,400",Pop. size during 8th time interval
Population size,"217,331",Pop. size during 9th time interval
Population size,"181,571",Pop. size during 10th time interval
Population size,"143456",Pop. size during 11th time interval
Population size,"111,644",Pop. size during 12th time interval
Population size,"91,813",Pop. size during 13th time interval
Population size,"83,829",Pop. size during 14th time interval
Population size,"83,932",Pop. size during 15th time interval
Population size,"87,661",Pop. size during 16th time interval
Population size,"96,283",Pop. size during 17th time interval
Population size,"110,745",Pop. size during 18th time interval
Population size,"111,132",Pop. size during 19th time interval
Population size,"78,908",Pop. size during 20th time interval
Time (yrs.),"1,537,686",Begining of 1st time interval
Time (yrs.),"1,119,341",Begining of 2nd time interval
Time (yrs.),"954,517",Begining of 3rd time interval
Time (yrs.),"813,610",Begining of 4th time interval
Time (yrs.),"693,151",Begining of 5th time interval
Time (yrs.),"590,173",Begining of 6th time interval
Time (yrs.),"502,139",Begining of 7th time interval
Time (yrs.),"426,879",Begining of 8th time interval
Time (yrs.),"362,541",Begining of 9th time interval
Time (yrs.),"307,540",Begining of 10th time interval
Time (yrs.),"260,520",Begining of 11th time interval
Time (yrs.),"220,324",Begining of 12th time interval
Time (yrs.),"185,960",Begining of 13th time interval
Time (yrs.),"156,584",Begining of 14th time interval
Time (yrs.),"131,471",Begining of 15th time interval
Time (yrs.),"110,001",Begining of 16th time interval
Time (yrs.),"91,648",Begining of 17th time interval
Time (yrs.),"75,958",Begining of 18th time interval
Time (yrs.),"62,544",Begining of 19th time interval
Time (yrs.),"51,077",Begining of 20th time interval
Generation time (yrs.),1,Average generation interval
Mutation rate,7.1e-9,Per-base per-generation mutation rate
